features,importance
PhysInt_Yes * support_available,0.0010230893076276196
FamHist_Yes * ObsCons_No,0.0009550210245879825
FamHist_Yes * MentvsPhys_Yes,0.0009545308112885461
Continent_Americas * FamHist_Yes,0.0009478285218584325
Anonymity_Don't know * Gen_male,0.0009323344431899609
MentInt_No * PhysInt_Yes,0.0008911799948296533
disc_MH_atwork * PhysCons_No,0.0008729985856910041
Remote_No * SelfEmp_No,0.0008495289730056976
Age * ObsCons_No,0.0008470687433822873
Continent_Americas * PhysCons_No,0.0008363941909565285
MentvsPhys_Don't know * PhysCons_No,0.0008148122024844371
Anonymity_Don't know * MentvsPhys_Don't know,0.0007981034401766443
Anonymity_Don't know * Remote_No,0.0007825244733582045
FamHist_Yes * Gen_male,0.0007530757049593837
MentvsPhys_No * PhysInt_Maybe,0.0007491157787222913
PhysCons_No * PhysInt_Maybe,0.0007475032885363989
Anonymity_Don't know * SelfEmp_No,0.0007223474889874635
FamHist_Yes * PhysCons_No,0.000711363512290446
MentvsPhys_Don't know * Remote_No,0.00070160818715451
Continent_Americas * MentvsPhys_Don't know,0.0006734040264351844
ObsCons_No * support_available,0.0006704170353354265
MentInt_No * MentvsPhys_Don't know,0.0006565412240225216
Anonymity_Don't know * PhysInt_Yes,0.0006498745691001556
Continent_Americas * PhysInt_Yes,0.0006324858696565231
Anonymity_Don't know * PhysCons_No,0.0005122544890727848
Continent_Americas * MentvsPhys_No,0.0005056119987517096
FamHist_Yes * Remote_No,0.0005053982441298335
Continent_Americas * SelfEmp_No,0.0004758336627735128
MentvsPhys_No * ObsCons_No,0.0004272350675490213
FamHist_Yes * MentInt_No,0.000422613442436491
PhysCons_No * Remote_No,0.0004093878732024803
Gen_male * PhysInt_Maybe,0.0004057039669689547
MentvsPhys_No * Remote_No,0.00036172687999343157
Gen_male * PhysCons_No,0.0003528369927868111
MentvsPhys_Don't know * PhysInt_Yes,0.0003507196506109601
MentvsPhys_No * PhysCons_No,0.00031364427375380643
Gen_male * MentvsPhys_Yes,0.00028899715767934087
ObsCons_No * PhysInt_Maybe,0.0002772292034284841
FamHist_Yes * PhysInt_Yes,0.0002671502077051953
Gen_male * MentvsPhys_Don't know,0.0002536857573907926
Gen_male * MentvsPhys_No,0.00021532023577867254
Anonymity_Don't know * ObsCons_No,0.00017219241362291583
ObsCons_No * PhysCons_No,0.0001586684742826448
Continent_Americas * ObsCons_No,0.00015410376959794478
Gen_male * Remote_No,0.00012552936607874288
